 x, y, -dx, +dx, -dy, +dy
1.0658,0.5039,0.064609,0.064609,0.033384,0.033384
1.2167,0.5391,0.080739,0.080739,0.035716,0.035716
1.4027,0.5652,0.093078,0.093078,0.037445,0.037445
1.6013,0.5846,0.097068,0.097068,0.038172,0.038172
1.828,0.59255,0.1213,0.1213,0.038691,0.038691
2.0971,0.59056,0.14905,0.14905,0.03856,0.03856
2.4058,0.56903,0.15838,0.15838,0.037155,0.037155
2.7599,0.53547,0.18314,0.18314,0.035475,0.035475
3.1507,0.4938,0.19099,0.19099,0.032714,0.032714
3.6144,0.44925,0.23984,0.23984,0.029763,0.029763
4.1669,0.39516,0.2765,0.2765,0.02618,0.02618
4.7802,0.3571,0.3172,0.3172,0.023658,0.023658
5.4838,0.33266,0.36389,0.36389,0.022039,0.022039
6.291,0.3293,0.41745,0.41745,0.021816,0.021816
7.1466,0.32161,0.47048,0.47048,0.022013,0.022013
8.2389,0.32819,0.5467,0.5467,0.021743,0.021743
9.4054,0.35469,0.58094,0.58094,0.024277,0.024277
10.737,0.38075,0.71247,0.71247,0.026061,0.026061
12.317,0.39516,0.81089,0.81089,0.027047,0.027047
14.131,0.42277,0.93025,0.93025,0.028936,0.028936
16.211,0.46,1.0757,1.0757,0.032134,0.032134
18.597,0.47419,1.3217,1.3217,0.033125,0.033125
21.439,0.51248,1.4114,1.4114,0.037654,0.037654
24.474,0.53008,1.4836,1.4836,0.038947,0.038947
27.94,0.57095,1.9857,1.9857,0.042658,0.042658
33.663,0.60061,3.6518,3.6518,0.044874,0.044874
42.39,0.61914,4.8295,4.8295,0.047739,0.047739
53.641,0.66913,5.9564,5.9564,0.054031,0.054031
67.217,0.74296,7.2917,7.2917,0.060137,0.060137
85.057,0.86487,9.4449,9.4449,0.072997,0.072997
107.11,0.84467,12.203,12.203,0.07439,0.07439
134.87,0.748,14.387,14.387,0.068629,0.068629
169.84,0.87073,18.859,18.859,0.083104,0.083104
214.92,0.98992,23.864,23.864,0.098371,0.098371
269.31,1.4351,28.727,28.727,0.12945,0.12945
